,Unnamed: 0.1,Unnamed: 0,PC1,PC2,year,condition,odometer,mmr,sellingprice,income,using_time,make,model,body,transmission,state,color,interior,region,K
532,532,532,1.3429222664530027,-1.0477022753718352,2012,3.9,20660.0,18650,18200,59100,3,infiniti,G Sedan,sedan,automatic,fl,silver,black,southeast,4
533,533,533,0.7427686186245352,0.2118283765754914,2013,4.0,59758.0,12250,12300,71660,2,dodge,Grand Caravan,van,automatic,mo,gray,black,midwest,3
534,534,534,-0.8463584084346499,-0.4039198435403398,2009,3.5,75623.0,7800,7800,65610,6,pontiac,Torrent,suv,automatic,mi,black,black,midwest,1
535,535,535,0.5291874123484089,-0.1529336516116692,2010,3.7,82047.0,19900,22400,65610,5,ford,F-150,cab,automatic,mi,blue,black,midwest,1
536,536,536,2.2705183597120806,-1.0516142979453384,2014,4.2,11664.0,21800,21900,59100,1,ford,Mustang,convertible,automatic,fl,—,black,southeast,4
537,537,537,-4.156615068549514,-0.0574464021422624,1999,2.9,130759.0,3950,3100,65610,16,pontiac,Firebird,hatchback,automatic,mi,blue,gray,midwest,9
538,538,538,0.2641045286015203,0.6911761972514605,2013,3.6,52145.0,7925,7500,77030,2,chevrolet,Sonic,hatchback,automatic,ca,silver,black,pacific,6
539,539,539,-1.5480303900314492,1.3992965928705183,2007,3.4,108449.0,7925,9800,80610,8,nissan,Pathfinder,suv,automatic,co,black,beige,mountain west,8
540,540,540,1.7634494866943338,-1.0959094723363958,2014,3.7,37663.0,20400,20600,59100,1,chevrolet,Express Cargo,van,automatic,fl,white,gray,southeast,4
541,541,541,1.110119165496914,-1.4544022480995058,2014,3.7,40774.0,13250,12800,57290,1,kia,Soul,wagon,automatic,tn,black,black,southeast,2
542,542,542,-3.506005584458741,1.0239934566462747,2003,2.6,141920.0,2525,3600,77030,12,cadillac,CTS,sedan,automatic,ca,black,black,pacific,0
543,543,543,1.7138264252179294,-0.2117027717082783,2012,4.6,33791.0,20800,21700,65610,3,ford,Taurus,sedan,automatic,mi,red,black,midwest,7
544,544,544,-2.6272145942089424,1.6305772235015308,2005,3.5,152267.0,3100,4900,82750,9,mercedes-benz,E-Class,sedan,automatic,nj,green,black,northeast,5
545,545,545,2.0475350373413086,1.1724181920843175,2012,4.3,35951.0,26400,27525,77030,3,bmw,5 Series,sedan,automatic,ca,white,black,pacific,6
546,546,546,0.6640896894235437,1.541796375871458,2012,3.7,35651.0,13050,13500,83200,3,ford,Fusion,sedan,automatic,mn,black,black,midwest,2
547,547,547,-1.5735277256231277,-0.288265043078569,2004,4.2,50296.0,6675,7800,64520,11,chevrolet,Silverado 1500,cab,automatic,oh,green,gray,midwest,7
548,548,548,-4.442275892191928,0.7234526446146549,2002,2.1,184685.0,875,900,74430,13,hyundai,Santa Fe,suv,automatic,va,white,gray,southeast,9
549,549,549,1.44008148613138,-0.7705757627587153,2011,3.6,77005.0,29200,28800,59100,4,toyota,4Runner,suv,automatic,fl,gray,black,southeast,4
550,550,550,-2.9197392029029845,0.5191774546272652,2005,2.2,134594.0,5800,5200,73100,10,jeep,Grand Cherokee,suv,automatic,pa,white,gray,northeast,0
551,551,551,0.7046152892501177,0.4531348039654806,2013,4.3,39355.0,8475,8800,74430,2,chevrolet,Spark,hatchback,automatic,va,blue,black,southeast,1
552,552,552,-4.1825903289359685,2.438012482016201,2001,2.6,150663.0,1375,1800,89090,14,chrysler,Town and Country,van,automatic,md,silver,blue,northeast,5
553,553,553,0.9191604462963896,-1.4982752355071882,2013,2.7,9701.0,15250,11500,57290,1,ford,Fusion,sedan,automatic,tn,white,tan,southeast,2
554,554,554,-2.4374119680920256,-0.850066514279906,2006,1.9,98690.0,5600,6500,61490,9,cadillac,DTS,sedan,automatic,nc,silver,black,southeast,1
555,555,555,-4.589192957297663,-0.8992103712963072,1999,2.1,120027.0,775,500,59100,16,saturn,S-Series,sedan,automatic,fl,gray,gray,southeast,5
556,556,556,0.8385094524696675,-0.8992479589539814,2012,4.3,29385.0,11400,11900,61450,3,dodge,Avenger,sedan,automatic,ga,white,red,southeast,1
557,557,557,0.5817948811588652,0.768849338485375,2013,3.4,48926.0,11050,13000,77030,2,toyota,Corolla,sedan,automatic,ca,gold,gray,pacific,6
558,558,558,-2.536766127607648,-0.1993618951115246,2007,1.9,120094.0,3200,2900,68360,7,dodge,Caliber,wagon,automatic,tx,orange,gray,southwest,0
559,559,559,1.9657172027203167,-0.830957413584292,2014,4.1,21210.0,19650,19650,61490,1,chrysler,300,sedan,automatic,nc,silver,black,southeast,3
560,560,560,1.118629740220328,-1.2692311032123855,2014,3.0,23565.0,14600,14400,59100,1,chevrolet,Cruze,sedan,automatic,fl,red,black,southeast,4
561,561,561,1.8210475195505889,1.6122352430042384,2014,4.1,34871.0,19850,19700,83200,1,toyota,RAV4,suv,automatic,mn,black,black,midwest,2
562,562,562,-0.0236625423259717,-1.2759039372615777,2012,2.0,40571.0,12800,11800,59100,3,toyota,Camry,sedan,automatic,fl,blue,gray,southeast,4
563,563,563,0.5409449435518301,0.7820856004901432,2013,3.8,63431.0,11200,11250,77030,2,dodge,Grand Caravan,van,automatic,ca,gray,black,pacific,6
564,564,564,-2.081054793962093,1.493932323941852,2005,2.7,40716.0,4175,4700,82150,10,ford,Five Hundred,sedan,automatic,ma,blue,gray,northeast,3
565,565,565,1.077749613608025,1.441831316995699,2011,3.7,49246.0,23200,21000,80200,4,ford,F-250 Super Duty,cab,automatic,ut,black,gray,mountain west,3
566,566,566,-2.790563041287609,0.8964720336695616,2006,1.9,132184.0,5350,5600,77030,9,honda,Civic,sedan,automatic,ca,blue,beige,pacific,0
567,567,567,2.016435608288312,-0.8460617986667098,2012,4.0,35538.0,28000,26800,59100,3,audi,Q5,suv,automatic,fl,white,black,southeast,4
568,568,568,1.8071104342864093,-0.7416301506133388,2014,3.5,19233.0,19650,18000,62960,0,ford,E-Series Wagon,van,automatic,nv,white,gray,mountain west,7
569,569,569,-0.209206698572012,0.4364203218183428,2012,2.7,62262.0,9850,9300,74430,3,nissan,Altima,sedan,automatic,va,white,tan,southeast,1
570,570,570,0.7184269276183659,-0.5651468611279223,2012,3.7,28978.0,12950,12700,64520,3,hyundai,Veloster,hatchback,automatic,oh,white,gray,midwest,7
571,571,571,-3.0422651643548773,0.8160387823559868,2006,2.0,126497.0,2325,700,77030,9,ford,Focus,sedan,automatic,ca,black,—,pacific,0
572,572,572,0.279003950864434,-1.5595635784762447,2013,1.9,17905.0,11950,10800,57290,2,nissan,Sentra,sedan,automatic,tn,black,gray,southeast,2
573,573,573,1.653502425861989,-1.0471368827051422,2013,3.5,25199.0,21500,21600,59100,2,infiniti,G Sedan,sedan,automatic,fl,gray,black,southeast,4
574,574,574,-1.8064722872014016,0.8079653352974886,2004,3.7,59064.0,7400,8000,74430,11,bmw,X3,suv,automatic,va,silver,black,southeast,1
575,575,575,-2.794254713099756,-2.176801856338884,2005,2.1,151898.0,6825,10200,48460,10,ford,F-150,cab,automatic,ms,white,black,southeast,8
576,576,576,1.165528251536826,-0.1775561624152118,2011,3.9,52513.0,23500,21000,65610,4,ford,F-150,cab,automatic,mi,black,gray,midwest,1
577,577,577,-2.6624423415897494,-0.7329993758765007,2005,2.9,141807.0,5750,6200,61450,10,infiniti,G35,coupe,automatic,ga,white,beige,southeast,9
578,578,578,0.8363266856502207,-0.6348243833079669,2010,3.7,46584.0,21100,21400,61450,5,honda,Ridgeline,cab,automatic,ga,gray,gray,southeast,1
579,579,579,-1.470948832552847,1.5972184010214945,2007,3.2,108071.0,10250,11000,82150,8,chevrolet,Silverado 2500HD,cab,automatic,ma,blue,black,northeast,8
580,580,580,0.2442298559045521,0.3201101643557359,2012,3.2,32766.0,10050,9800,73200,3,ford,Focus,sedan,automatic,ne,silver,tan,midwest,7
581,581,581,-0.3828475402625074,0.3768489889113587,2009,3.0,63197.0,16200,12500,71660,6,lexus,IS 250,sedan,automatic,mo,gray,gray,midwest,3
582,582,582,-2.199874640147455,-0.82781823152755,2006,2.6,113296.0,5850,6000,61490,8,cadillac,STS,sedan,automatic,nc,blue,tan,southeast,9
583,583,583,-0.3957410947384234,-0.8889242194736253,2011,3.8,108581.0,8975,10100,61450,4,hyundai,Sonata,sedan,automatic,ga,white,black,southeast,9
584,584,584,0.3632911843157161,-1.4333693906789706,2012,3.9,65186.0,9000,10500,57290,2,chevrolet,Impala,sedan,automatic,tn,silver,gray,southeast,2
585,585,585,-4.846201267225821,-0.1760889203776174,2002,1.0,181467.0,325,325,67090,13,chevrolet,Cavalier,sedan,automatic,wi,silver,gray,midwest,5
586,586,586,1.6862623371186882,0.8694855433095411,2013,5.0,585.0,13550,13600,77030,2,kia,Rio,sedan,automatic,ca,red,black,pacific,6
587,587,587,-0.918295187691965,1.3623977019222753,2011,3.5,124792.0,7275,6100,82150,4,ford,Transit Connect,van,automatic,ma,white,gray,northeast,8
588,588,588,1.5022925027842948,-1.0152286281915184,2012,3.5,32846.0,21700,22000,59100,2,mercedes-benz,C-Class,sedan,automatic,fl,white,beige,southeast,4
589,589,589,-2.083174208661644,0.5408050248747082,2007,1.9,77634.0,5725,5900,74430,8,kia,Sorento,suv,automatic,va,gold,tan,southeast,1
590,590,590,1.7961673579193125,1.6583505905737608,2013,3.9,33082.0,23200,22500,82750,2,mercedes-benz,C-Class,sedan,automatic,nj,black,black,northeast,7
