,K,SSE
0,1,1.0
1,2,0.3100860060307846
2,3,0.1667488392108021
3,4,0.12116264846736592
4,5,0.08693651849459547
5,6,0.056065468275080015
6,7,0.03334543587519327
7,8,0.015636779258667657
8,9,0.0071223716042361825
9,10,0.0
